Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Days upon Outcome
A663201,Buck,10/1/13,2:14PM,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White,730
A663935,,10/1/13,2:15PM,Transfer,Partner,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Brown,5110
A663887,Hooch,10/1/13,3:07PM,Euthanasia,Medical,Dog,Neutered Male,3 years,Pit Bull Mix,Red/White,1095
A663886,Trudy,10/1/13,3:08PM,Euthanasia,Medical,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,730
A664233,Stevie,10/1/13,3:33PM,Euthanasia,Suffering,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White,1095
A521520,Nina,10/1/13,3:39PM,Return to Owner,,Dog,Spayed Female,7 years,Border Terrier/Border Collie,White/Tan,2555
A662104,Gracie,10/1/13,3:47PM,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,1095
A664280,Coco,10/1/13,3:51PM,Return to Owner,,Dog,Spayed Female,6 years,Miniature Poodle Mix,Apricot,2190
A663605,*Joe,10/1/13,4:05PM,Return to Owner,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A664218,,10/1/13,4:11PM,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Medium Hair Mix,Blue Tabby/White,180
A664217,,10/1/13,4:11PM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,365
A660634,*Fauna,10/1/13,4:17PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Blue/White,60
A664238,,10/1/13,4:47PM,Euthanasia,Medical,Cat,Unknown,4 months,American Shorthair Mix,Black/White,120
A661933,*Nutella,10/1/13,4:49PM,Euthanasia,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Blue Tabby,3650
A663920,Sparkle,10/1/13,4:53PM,Adoption,,Cat,Spayed Female,2 months,Snowshoe Mix,Blue Point,60
A663827,,10/1/13,5:02PM,Adoption,,Dog,Neutered Male,8 months,Labrador Retriever Mix,Brown,240
A664032,Parker,10/1/13,5:18PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan,60
A661830,Amalia,10/1/13,5:58PM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Torbie,365
A664288,,10/1/13,6:02PM,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue/White,730
A664151,Bravo,10/1/13,6:19PM,Return to Owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair,Red,1825
A664031,Willow,10/1/13,6:24PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Tan,60
A658012,Lucio,10/1/13,6:27PM,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Red,1095
A664313,,10/1/13,6:33PM,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Tortie,7
A664111,*Izzy,10/1/13,6:54PM,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Blue Tabby/White,180
A664234,,10/1/13,7:09PM,Euthanasia,Suffering,Dog,Intact Male,8 years,Border Collie Mix,Black/White,2920
A660781,*Hank,10/2/13,8:31AM,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White,90
A664329,,10/2/13,9:21AM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,30
A664328,,10/2/13,9:40AM,Euthanasia,Rabies Risk,Other,Unknown,4 months,Bat Mix,Brown,120
A664284,,10/2/13,11:02AM,Died,In Foster,Cat,Intact Male,1 day,Domestic Shorthair Mix,Black/White,1
A664285,,10/2/13,11:03AM,Died,In Foster,Cat,Intact Male,1 day,Domestic Shorthair Mix,Black,1
A664042,,10/2/13,11:12AM,Euthanasia,Suffering,Dog,Intact Male,2 years,Chow Chow Mix,Black,730
A609552,Zuzu,10/2/13,11:26AM,Return to Owner,,Dog,Spayed Female,2 years,Doberman Pinsch/Pit Bull,Black/Tan,730
A661383,*Mirabai,10/2/13,11:35AM,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,1825
A663510,Tiger,10/2/13,12:04PM,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle,365
A657196,*Salamander,10/2/13,12:05PM,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White,120
A664158,,10/2/13,12:06PM,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,White/Black,30
A663823,*Bowzer,10/2/13,12:20PM,Adoption,,Dog,Neutered Male,2 years,Boston Terrier/Miniature Schnauzer,Brown Brindle/White,730
A634503,Otter,10/2/13,12:40PM,Adoption,,Dog,Spayed Female,2 years,Norfolk Terrier Mix,Tan,730
A663889,Bejon,10/2/13,1:16PM,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Beauceron,Black/Tan,730
A664060,Raisin,10/2/13,1:49PM,Return to Owner,,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Tortie,2920
A664059,Sylvia,10/2/13,1:50PM,Return to Owner,,Cat,Spayed Female,8 years,Russian Blue Mix,Blue,2920
A663909,,10/2/13,2:15PM,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever,Yellow,365
A663910,,10/2/13,2:15PM,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever,Chocolate,365
A664344,,10/2/13,2:25PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue,14
A664345,,10/2/13,2:26PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,14
A664346,,10/2/13,2:27PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black Tabby/White,14
A664347,,10/2/13,2:28PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby,14
A477934,Suzie Q,10/2/13,2:35PM,Return to Owner,,Dog,Spayed Female,7 years,Pit Bull Mix,Red/White,2555
A660455,*Margot,10/2/13,3:00PM,Adoption,Foster,Cat,Spayed Female,2 months,Snowshoe Mix,Lilac Point,60
A663644,Cookie,10/2/13,3:08PM,Return to Owner,,Dog,Spayed Female,12 years,Manchester Terrier,Black/Tan,4380
A663825,,10/2/13,3:25PM,Transfer,Partner,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown,240
A650212,*Jaxon,10/2/13,4:09PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,365
A664160,Honey,10/2/13,4:29PM,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Chocolate/Tan,365
A663809,,10/2/13,4:32PM,Transfer,Partner,Dog,Intact Male,6 months,Labrador Retriever Mix,Brown/White,180
A663982,,10/2/13,4:36PM,Transfer,Partner,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/Tan,365
A663986,*Roberto,10/2/13,4:38PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,30
A663979,*Ajax,10/2/13,4:39PM,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby,180
A663980,*Gwen,10/2/13,4:39PM,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White,180
A663584,*Kim,10/2/13,4:44PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,60
A663925,Patches,10/2/13,4:48PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Calico,60
A663926,Gracie,10/2/13,4:49PM,Transfer,Partner,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,1095
A663924,Streak,10/2/13,4:50PM,Transfer,Partner,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Cream Tabby/White,60
A664368,Zeus,10/2/13,4:51PM,Return to Owner,,Dog,Intact Male,4 months,German Shepherd Mix,Brown/Black,120
A663861,,10/2/13,5:08PM,Euthanasia,Behavior,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White,365
A639030,Cate,10/2/13,5:08PM,Return to Owner,,Dog,Spayed Female,7 years,German Shepherd Mix,Tan,2555
A660040,*Small Fry,10/2/13,5:16PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A664224,Toby,10/2/13,5:16PM,Adoption,,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Silver/Brown,365
A663728,,10/2/13,5:39PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,60
A663693,*Zorro,10/2/13,5:40PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,90
A663653,*Squishy,10/2/13,5:42PM,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue,60
A640316,Kato,10/2/13,5:43PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black,365
A663957,,10/2/13,5:47PM,Adoption,,Dog,Neutered Male,11 months,Siberian Husky/German Shepherd,Buff,330
A663585,*Star,10/2/13,6:00PM,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,60
A663956,Haven,10/2/13,6:06PM,Adoption,,Dog,Spayed Female,4 years,Australian Shepherd Mix,Tricolor,1460
A663878,,10/2/13,6:16PM,Adoption,,Dog,Spayed Female,2 years,Glen Of Imaal Mix,Black,730
A664308,Bruce,10/2/13,6:21PM,Return to Owner,,Dog,Intact Male,6 years,Australian Cattle Dog Mix,Brown/Black,2190
A664384,,10/2/13,6:36PM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Raccoon Mix,Brown,180
A664033,*Billy,10/2/13,6:40PM,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Tan/White,60
A663754,Spanky,10/2/13,6:48PM,Return to Owner,,Dog,Neutered Male,12 years,Miniature Schnauzer Mix,Gray/Black,4380
A663004,*Allie,10/2/13,6:58PM,Adoption,,Dog,Spayed Female,8 months,Bulldog/Australian Cattle Dog,Black/White,240
A658765,Daisy,10/2/13,7:02PM,Return to Owner,,Dog,Intact Female,2 years,Rhod Ridgeback Mix,Brown/Tan,730
A658825,Tiny,10/2/13,7:02PM,Return to Owner,,Dog,Neutered Male,9 years,Boxer Mix,Tan/White,3285
A658797,*Allie,10/2/13,7:09PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue/White,365
A664387,,10/2/13,7:21PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby,14
A664388,,10/2/13,7:21PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby,14
A663824,,10/2/13,11:40PM,Transfer,Partner,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown,240
A663983,,10/2/13,11:43PM,Transfer,Partner,Dog,Intact Female,1 year,Miniature Pinscher Mix,Black/Tan,365
A664281,,10/2/13,11:53PM,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,730
A664282,,10/2/13,11:56PM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Longhair Mix,Brown Tabby,730
A664292,,10/2/13,11:57PM,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Brown Tabby/White,300
A664386,,10/3/13,10:28AM,Euthanasia,Suffering,Cat,Intact Female,12 years,Domestic Shorthair Mix,Brown Tabby,4380
A663228,,10/3/13,10:59AM,Transfer,Partner,Livestock,Intact Male,5 years,Miniature,Liver/Cream,1825
A663692,Austin,10/3/13,11:08AM,Return to Owner,,Dog,Neutered Male,6 years,Plott Hound Mix,Brown Brindle/White,2190
A664430,,10/3/13,11:52AM,Euthanasia,Rabies Risk,Other,Unknown,9 months,Skunk,Black/White,270
A664302,,10/3/13,12:27PM,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black/White,300
A664303,,10/3/13,12:27PM,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby,300
A664304,,10/3/13,12:27PM,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby,300
A664438,,10/3/13,12:33PM,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/White,730
A664289,,10/3/13,12:41PM,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,90
A660088,*Rooster,10/3/13,12:50PM,Adoption,Foster,Dog,Neutered Male,3 months,Pit Bull Mix,Blue/White,90
A664188,Blue,10/3/13,12:58PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,365
A618691,Chucha,10/3/13,1:05PM,Return to Owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White,730
A664355,Jewels,10/3/13,1:07PM,Return to Owner,,Dog,Spayed Female,4 years,Miniature Poodle Mix,Black,1460
A664115,Hey Boy,10/3/13,2:17PM,Return to Owner,,Dog,Intact Male,12 years,Pug/Labrador Retriever,Brown,4380
A664094,Sally,10/3/13,3:15PM,Transfer,Partner,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,Tan/White,730
A658253,Nugget,10/3/13,3:15PM,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,730
A663619,*Cinder,10/3/13,3:19PM,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,90
A664428,,10/3/13,3:32PM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie,365
A664348,,10/3/13,3:32PM,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,730
A664380,,10/3/13,3:33PM,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico,180
A664448,,10/3/13,3:33PM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby,120
A664435,,10/3/13,3:33PM,Transfer,SCRP,Cat,Intact Female,5 months,Domestic Shorthair Mix,Black/White,150
A664436,,10/3/13,3:33PM,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black/White,150
A664437,,10/3/13,3:33PM,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby/White,150
A664459,Miss Kitty,10/3/13,4:16PM,Euthanasia,Suffering,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,2920
A664350,Elvis,10/3/13,4:19PM,Return to Owner,,Dog,Neutered Male,3 years,Welsh Terrier Mix,Tan/Brown,1095
A664356,Azul,10/3/13,4:37PM,Transfer,Partner,Dog,Intact Male,7 months,Pit Bull Mix,Blue/White,210
A663657,,10/3/13,4:42PM,Adoption,,Dog,Neutered Male,4 months,Pembroke Welsh Corgi Mix,White/Cream,120
A660041,*Adam,10/3/13,5:27PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,60
A664113,Wrigley,10/3/13,5:39PM,Adoption,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Tan,60
A663987,Dodie,10/3/13,5:45PM,Adoption,,Dog,Spayed Female,10 months,Pit Bull Mix,Blue,300
A664110,Zazzy,10/3/13,5:46PM,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,365
A663995,Biscuit,10/3/13,5:58PM,Adoption,,Dog,Neutered Male,2 years,Maltese Mix,White,730
A664082,Stella,10/3/13,6:00PM,Adoption,,Dog,Spayed Female,1 year,Norfolk Terrier Mix,Brown/Black,365
A663929,*Trixie,10/3/13,6:03PM,Transfer,Partner,Dog,Spayed Female,7 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Brown/Tan,2555
A663890,,10/3/13,6:07PM,Transfer,Partner,Dog,Spayed Female,2 years,Rat Terrier,Tricolor,730
A663999,,10/3/13,6:08PM,Transfer,Partner,Dog,Neutered Male,3 years,Papillon Mix,Red/Black,1095
A664172,Spider,10/3/13,7:00PM,Return to Owner,,Cat,Neutered Male,15 years,Maine Coon Mix,Brown Tabby,5475
A661097,Remy,10/4/13,9:13AM,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,365
A659835,*Moon Doggie,10/4/13,9:17AM,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Doberman Pinsch,Black,60
A662881,*Tangerine,10/4/13,11:11AM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,60
A603779,*Rain,10/4/13,11:38AM,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/Black,730
A662820,*Indigo,10/4/13,12:54PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,60
A663177,,10/4/13,12:56PM,Return to Owner,,Dog,Neutered Male,2 months,American Bulldog Mix,Brown/White,60
A661160,*Creamsicle,10/4/13,1:05PM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby,90
A663804,Paco,10/4/13,1:33PM,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever/Pit Bull,Black,1460
A663789,Freyja,10/4/13,1:33PM,Return to Owner,,Dog,Spayed Female,2 years,Beagle/Pit Bull,White/Tan,730
A664424,Spot,10/4/13,2:09PM,Return to Owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair/Mexican Hairless,Red/White,2920
A663721,Molly,10/4/13,2:54PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair/Domestic Medium Hair,Black,60
A664105,*Dodger,10/4/13,3:09PM,Euthanasia,Aggressive,Dog,Intact Male,3 years,Pit Bull Mix,Brown,1095
A664319,Boris,10/4/13,3:10PM,Transfer,Partner,Dog,Intact Male,6 months,Jack Russell Terrier/Chihuahua Shorthair,Tan/Black,180
A664090,*Morgan,10/4/13,3:14PM,Adoption,,Dog,Spayed Female,6 years,Dachshund Longhair Mix,Brown,2190
A663347,Crash,10/4/13,3:18PM,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull Mix,Blue/White,2190
A663972,Rocky,10/4/13,4:42PM,Transfer,Partner,Dog,Neutered Male,2 years,Border Collie Mix,Brown/White,730
A663854,Skittles,10/4/13,4:44PM,Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Black/White,1460
A663896,,10/4/13,4:44PM,Transfer,Partner,Dog,Intact Female,8 months,Chihuahua Shorthair Mix,White/Brown,240
A664078,Rocky,10/4/13,5:22PM,Adoption,,Dog,Neutered Male,10 months,Pointer Mix,Black/White,300
A664475,,10/4/13,5:25PM,Euthanasia,Suffering,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tan,730
A663684,Asher,10/4/13,6:11PM,Return to Owner,,Dog,Neutered Male,4 years,Siberian Husky Mix,White/Tan,1460
A663805,Alamo,10/4/13,6:19PM,Return to Owner,,Dog,Spayed Female,6 years,Pit Bull/Border Terrier,Black/White,2190
A664114,,10/4/13,6:22PM,Transfer,Partner,Dog,Intact Male,1 year,German Shepherd/Australian Cattle Dog,Black/Brown,365
A625774,Jumper,10/4/13,6:37PM,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow,1095
A664133,,10/4/13,6:41PM,Adoption,,Dog,Neutered Male,2 years,Border Terrier/Miniature Schnauzer,Silver,730
A663941,,10/4/13,6:51PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Dachshund,Black/White,365
A663410,Chico,10/4/13,6:54PM,Return to Owner,,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Brown/White,365
A663411,Daisy,10/4/13,6:57PM,Return to Owner,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Tricolor,365
A664066,,10/5/13,8:44AM,Relocate,,Other,Unknown,6 months,Opossum Mix,White,180
A664532,,10/5/13,10:05AM,Euthanasia,Rabies Risk,Other,Unknown,1 day,Bat Mix,Brown/Brown,1
A664537,Avery,10/5/13,11:32AM,Return to Owner,,Dog,Spayed Female,5 years,Boston Terrier Mix,Black/White,1825
A626809,Princess,10/5/13,11:38AM,Return to Owner,,Dog,Spayed Female,3 years,Cavalier Span Mix,White/Brown,1095
A664112,Grant,10/5/13,11:47AM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Labrador Retriever,White,60
A663204,*Champ,10/5/13,11:58AM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White,365
A664450,Miley,10/5/13,12:01PM,Transfer,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan,1825
A664043,Muneca,10/5/13,12:09PM,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,White,120
A664549,,10/5/13,12:20PM,Transfer,Partner,Cat,Intact Female,3 days,Manx Mix,Tortie,3
A662817,*Willie,10/5/13,12:31PM,Adoption,,Dog,Neutered Male,1 year,Rottweiler,Black/Tan,365
A664299,*Doc,10/5/13,12:33PM,Transfer,Partner,Dog,Intact Male,2 months,Anatol Shepherd/Great Pyrenees,White/Tricolor,60
A664306,*Tiny,10/5/13,12:34PM,Transfer,Partner,Dog,Intact Female,2 months,Australian Shepherd Mix,White/Tricolor,60
A664307,*Sneezy,10/5/13,12:35PM,Transfer,Partner,Dog,Intact Female,2 months,Anatol Shepherd/Labrador Retriever,Cream,60
A664460,,10/5/13,12:36PM,Transfer,Partner,Dog,Intact Male,15 years,Dachshund Mix,Brown,5475
A664392,Moose,10/5/13,12:42PM,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Medium Hair Mix,Orange Tabby,2555
A662739,*Trent,10/5/13,12:42PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,30
A662740,*Tally,10/5/13,12:42PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Black,30
A662741,*Todd,10/5/13,12:42PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,30
A643153,Aurora,10/5/13,12:43PM,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Brown,365
A660042,Buffy,10/5/13,1:03PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Cream Tabby/White,60
A663988,Missy,10/5/13,1:06PM,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Brown/White,60
A664062,Faxon,10/5/13,1:51PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,365
A664061,Fagon,10/5/13,1:52PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,365
A660154,*Owen,10/5/13,1:55PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White,90
A664506,Pearl,10/5/13,2:14PM,Return to Owner,,Dog,Spayed Female,9 years,Greyhound Mix,Tan/White,3285
A664565,,10/5/13,2:17PM,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby,2
A664566,,10/5/13,2:17PM,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,White,2
A662167,*Pop Tart,10/5/13,2:31PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,60
A606120,Archie,10/5/13,2:34PM,Euthanasia,Behavior,Dog,Neutered Male,4 years,Pit Bull Mix,Blue/White,1460
A664034,*Mallory,10/5/13,2:35PM,Euthanasia,Behavior,Dog,Intact Female,2 years,German Shepherd Mix,Tan,730
A661605,Manchita,10/5/13,2:52PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,60
A664321,,10/5/13,3:05PM,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tan/Cream,365
A664266,,10/5/13,3:06PM,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Buff,365
A662673,*Melody,10/5/13,3:13PM,Adoption,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/Brown,150
A664108,Minni,10/5/13,3:19PM,Adoption,,Dog,Spayed Female,2 years,Cairn Terrier/Chihuahua Shorthair,Brown,730
